loss,hyperparameters,iteration,runtime,score,std
0.5615154765431494,"{'boosting_type': 'dart', 'colsample_bytree': 0.5312878089073401, 'learning_rate': 0.06537665662453568, 'limit_max_depth': True, 'max_depth': 34, 'min_child_samples': 30, 'num_leaves': 20, 'reg_alpha': 0.0462606303852402, 'reg_lambda': 0.24737068207639057, 'subsample_for_bin': 10000, 'drop_rate': 0.17403603776601653, 'subsample': 0.6916616361796566, 'subsample_freq': 2, 'n_estimators': 42}",14,3.074549473176421,0.43848452345685063,0.0114723710535142
0.5579657603794748,"{'boosting_type': 'goss', 'colsample_bytree': 0.8100500052371833, 'learning_rate': 0.23818248901544417, 'limit_max_depth': True, 'max_depth': 27, 'min_child_samples': 65, 'num_leaves': 8, 'reg_alpha': 0.9940168304207542, 'reg_lambda': 0.05274054969895969, 'subsample_for_bin': 38000, 'subsample': 1.0, 'subsample_freq': 0, 'n_estimators': 139}",15,1.9642214731480068,0.44203423962052524,0.023131711340341702
0.5820151538610406,"{'boosting_type': 'gbdt', 'colsample_bytree': 0.5140016222220557, 'learning_rate': 0.24554180749836835, 'limit_max_depth': True, 'max_depth': 2, 'min_child_samples': 50, 'num_leaves': 28, 'reg_alpha': 0.061446159526226785, 'reg_lambda': 0.18723808558532684, 'subsample_for_bin': 90000, 'subsample': 0.8878175143975833, 'subsample_freq': 3, 'n_estimators': 80}",16,1.1903216523284186,0.41798484613895937,0.028078657284630673
0.5706090765142,"{'boosting_type': 'goss', 'colsample_bytree': 0.6068490983565298, 'learning_rate': 0.23704303880217872, 'limit_max_depth': False, 'max_depth': -1, 'min_child_samples': 35, 'num_leaves': 46, 'reg_alpha': 0.1593405037915827, 'reg_lambda': 0.7440195797164152, 'subsample_for_bin': 86000, 'subsample': 1.0, 'subsample_freq': 0, 'n_estimators': 35}",17,1.3829091335428985,0.4293909234858,0.013286271335105647
0.5485791262023395,"{'boosting_type': 'gbdt', 'colsample_bytree': 0.5732196032263608, 'learning_rate': 0.07821786220751818, 'limit_max_depth': True, 'max_depth': 15, 'min_child_samples': 20, 'num_leaves': 47, 'reg_alpha': 0.5884278776227748, 'reg_lambda': 0.2385578601150551, 'subsample_for_bin': 60000, 'subsample': 0.7906966783410859, 'subsample_freq': 7, 'n_estimators': 58}",18,3.018212688215425,0.4514208737976605,0.022659096214516828
0.5639634481926713,"{'boosting_type': 'dart', 'colsample_bytree': 0.6036429784173395, 'learning_rate': 0.23966463125222845, 'limit_max_depth': False, 'max_depth': -1, 'min_child_samples': 20, 'num_leaves': 44, 'reg_alpha': 0.014221453433473141, 'reg_lambda': 0.4788952933423093, 'subsample_for_bin': 58000, 'drop_rate': 0.3234422082194233, 'subsample': 0.5434210664894932, 'subsample_freq': 9, 'n_estimators': 51}",19,6.403786276730512,0.4360365518073287,0.01816809610669591
0.5767836567417042,"{'boosting_type': 'goss', 'colsample_bytree': 0.5859037050114533, 'learning_rate': 0.04570538575579126, 'limit_max_depth': True, 'max_depth': 15, 'min_child_samples': 70, 'num_leaves': 15, 'reg_alpha': 0.018476784184465522, 'reg_lambda': 0.4235752375701608, 'subsample_for_bin': 38000, 'subsample': 1.0, 'subsample_freq': 0, 'n_estimators': 44}",20,1.1863157325455063,0.4232163432582959,0.01432302361061334
0.5904640913117507,"{'boosting_type': 'dart', 'colsample_bytree': 0.7544417891937312, 'learning_rate': 0.10813520819921985, 'limit_max_depth': True, 'max_depth': 2, 'min_child_samples': 25, 'num_leaves': 23, 'reg_alpha': 0.5490123180983024, 'reg_lambda': 0.5998500210181358, 'subsample_for_bin': 72000, 'drop_rate': 0.44153265271548753, 'subsample': 0.9956111004302556, 'subsample_freq': 9, 'n_estimators': 100}",21,3.867671692850263,0.40953590868824924,0.022288122108542165
0.5671710107569208,"{'boosting_type': 'dart', 'colsample_bytree': 0.746822711891411, 'learning_rate': 0.10467230092429392, 'limit_max_depth': True, 'max_depth': 13, 'min_child_samples': 25, 'num_leaves': 31, 'reg_alpha': 0.3691791412700523, 'reg_lambda': 0.6232272384056083, 'subsample_for_bin': 46000, 'drop_rate': 0.1063894966902379, 'subsample': 0.9431177316754208, 'subsample_freq': 6, 'n_estimators': 138}",22,7.414041996667459,0.4328289892430792,0.020685867739729823
0.5633025980256205,"{'boosting_type': 'gbdt', 'colsample_bytree': 0.5029011513680689, 'learning_rate': 0.08882254463570753, 'limit_max_depth': True, 'max_depth': 5, 'min_child_samples': 5, 'num_leaves': 41, 'reg_alpha': 0.6661328778060727, 'reg_lambda': 0.9572750633480271, 'subsample_for_bin': 76000, 'subsample': 0.9784173965088223, 'subsample_freq': 10, 'n_estimators': 50}",23,1.914096038964135,0.4366974019743794,0.01946896814522757
0.5656155790035675,"{'boosting_type': 'dart', 'colsample_bytree': 0.6380136272717591, 'learning_rate': 0.14254133299767177, 'limit_max_depth': True, 'max_depth': 13, 'min_child_samples': 40, 'num_leaves': 34, 'reg_alpha': 0.4429793897727603, 'reg_lambda': 0.15980692309512878, 'subsample_for_bin': 46000, 'drop_rate': 0.48548850341070504, 'subsample': 0.8558944973472686, 'subsample_freq': 7, 'n_estimators': 76}",24,9.412964150890513,0.4343844209964325,0.02042191680531515
0.5571151199253508,"{'boosting_type': 'dart', 'colsample_bytree': 0.7296278306158461, 'learning_rate': 0.1097628813049313, 'limit_max_depth': True, 'max_depth': 23, 'min_child_samples': 20, 'num_leaves': 50, 'reg_alpha': 0.6562982545926476, 'reg_lambda': 0.6856322790785541, 'subsample_for_bin': 62000, 'drop_rate': 0.39526198818238223, 'subsample': 0.6503639627353427, 'subsample_freq': 4, 'n_estimators': 35}",25,6.344617501730022,0.44288488007464916,0.019356532301295273
0.5529800612372067,"{'boosting_type': 'gbdt', 'colsample_bytree': 0.7165996657808924, 'learning_rate': 0.02643840869412423, 'limit_max_depth': True, 'max_depth': 4, 'min_child_samples': 5, 'num_leaves': 25, 'reg_alpha': 0.36955255390066744, 'reg_lambda': 0.5978363245564536, 'subsample_for_bin': 4000, 'subsample': 0.6222666138244232, 'subsample_freq': 8, 'n_estimators': 65}",26,1.7246839078304674,0.44701993876279333,0.03037413922607158
0.5605316328705021,"{'boosting_type': 'gbdt', 'colsample_bytree': 0.5006012650537518, 'learning_rate': 0.06860557285352285, 'limit_max_depth': True, 'max_depth': 40, 'min_child_samples': 15, 'num_leaves': 50, 'reg_alpha': 0.6499584425331786, 'reg_lambda': 0.3095114570769979, 'subsample_for_bin': 84000, 'subsample': 0.9965772930236989, 'subsample_freq': 9, 'n_estimators': 73}",27,3.864061556899776,0.43946836712949783,0.013826936991596216
